{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	116.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	285.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	308.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	62.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	74.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	86.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	78.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	101.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	232.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	304.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	105.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	111.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	98.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	42.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	23.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	19.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	24.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	15.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	45.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	40.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	31.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	46.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	54.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	31.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	49.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	34.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	31.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	30.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	68.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	52.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	50.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	52.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	58.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	50.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	48.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	29.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	35.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	9.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	24.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	34.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.31%	23.97%	25.22%	45.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	24.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	26.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.31%	23.97%	25.22%	39.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	55.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	39.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	12.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	41.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.31%	23.97%	25.22%	20.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	80.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	42.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	52.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.31%	23.97%	25.22%	34.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	84.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	20.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	41.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	85.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	26.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	48.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	72.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	36.53%	24.14%	25.52%	32.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	14.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	27.00ms
{ConfidenceFactor=0.1, NumFolds=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	60.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	36.53%	24.14%	25.52%	25.00ms
{ConfidenceFactor=0.3, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.09%	23.97%	25.11%	9.00ms
{ConfidenceFactor=0.3, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	13.00ms
{ConfidenceFactor=0.3, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	19.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	13.00ms
{ConfidenceFactor=0.4, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.09%	23.97%	25.11%	15.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.31%	23.97%	25.22%	38.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	19.00ms
{ConfidenceFactor=0.3, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	9.00ms
{ConfidenceFactor=0.4, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	9.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	21.00ms
{ConfidenceFactor=0.2, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	21.00ms
{ConfidenceFactor=0.3, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	19.00ms
{ConfidenceFactor=0.4, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	8.00ms
{ConfidenceFactor=0.2, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	24.00ms
{ConfidenceFactor=0.3, NumFolds=3, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	36.31%	24.14%	25.41%	8.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.31%	23.97%	25.22%	23.00ms
{ConfidenceFactor=0.2, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	20.00ms
{ConfidenceFactor=0.4, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.09%	23.97%	25.11%	9.00ms
{ConfidenceFactor=0.3, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	10.00ms
{ConfidenceFactor=0.2, NumFolds=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.31%	23.97%	25.22%	20.00ms
{ConfidenceFactor=0.2, NumFolds=3, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	36.53%	24.14%	25.52%	12.00ms
{ConfidenceFactor=0.4, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	36.31%	24.14%	25.41%	9.00ms
{ConfidenceFactor=0.3, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	13.00ms
{ConfidenceFactor=0.3, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	12.00ms
{ConfidenceFactor=0.4, NumFolds=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	8.00ms
{ConfidenceFactor=0.4, NumFolds=3, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.09%	23.97%	25.11%	10.00ms
{ConfidenceFactor=0.3, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.09%	23.97%	25.11%	14.00ms
{ConfidenceFactor=0.4, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	36.31%	24.14%	25.41%	20.00ms
{ConfidenceFactor=0.2, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	16.00ms
{ConfidenceFactor=0.4, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	8.00ms
