GB	root.title	root.price	General.Type	General.RAM	General.GPU	General.Brand	General.Model	General.Processor	General.CPU	General.Core	General.Color	General.RAMType	General.ROM	DimensionandWeight.Productweight	DimensionandWeight.Productsize(LxWxH)	ProductDetails.Interface	ProductDetails.HDMIVersion	ProductDetails.Bluetooth	ProductDetails.RJ45PortSpeed	FirmwareInformation.WiFiChip	FirmwareInformation.SystemBit	General.MaximumExternalHardDrivesCapacity	General.System	ProductDetails.WIFI
http://www.gearbest.com/tv-box-mini-pc/pp_372951.html	gole gole1 5 inch 720 x 1280 mini pc windows 10 / android 5.1	$109.13	mini pc 	4g ram 	gen 8 graphics 		gole1 		intel cherry trail z8300 	1.84ghz,quad core 	golden 	lpddr3 	32g rom 	0.2000 kg 	13.50 x 9.00 x 2.00 cm / 5.31 x 3.54 x 0.79 inches 	3.5mm audio,dc power port,ethernet,hdmi,micro usb,tf card,usb2.0,usb3.0 	2	bluetooth4.0 			64bit 		android 5.1,windows 10 	802.11 b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_390233.html	mini m8s ii 4k smart tv box android amlogic s905x quad core processor	$34.99	tv box 	2g 	mali-450 		mini m8s ii 	s905x 	amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	8g 	0.1520 kg 	11.00 x 11.00 x 1.70 cm / 4.33 x 4.33 x 0.67 inches 	dc power port,hdmi,micro sd card slot,rj45,spdif,usb2.0 	2	bluetooth4.0 			64bit 	32gb 	android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_608686.html	higole gole1 plus mini pc	$169.99	mini pc 	4g ram 	intel gen 8-lp 	higole 	gole1 plus 	intel atom x5-z8350 	intel atom x5-z8350 	quad core 		lpddr3 	128g rom,64g rom 	0.6600 kg 	19.90 x 13.60 x 2.70 cm / 7.83 x 5.35 x 1.06 inches 	3.5mm audio,dc power port,hdmi,lan,micro sd card slot,usb2.0,usb3.0 	1.4	bluetooth4.0 	100m 	no 	64bit 	128gb 	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_609346.html	yundoo y8 tv box	$117.99	tv box 	4g ram 	arm mali-t860mp4 	yundoo 	y8 	rk3399 	arm cortex-a53,arm cortex-a72 	2.0ghz 		ddr3 	32g rom 	0.2900 kg 	11.60 x 11.60 x 2.35 cm / 4.57 x 4.57 x 0.93 inches 	dc 5v,hdmi,lan,optical,reset port,sd card slot,usb 3.1 type-c,usb2.0,usb3.0 		bluetooth 4.1 + edr 			64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_608449.html	mecool kiii pro internet tv box	$115.99	tv box 	3gb 	arm mali-t820mp3 	mecool 	kiii pro 	amlogic s912 	amlogic s912 	octa core 	black 	ddr3 	16g 	0.2600 kg 	13.00 x 12.00 x 3.20 cm / 5.12 x 4.72 x 1.26 inches 	av,dvb-s2,dvb-t2,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	1000m 	bcm4335 	64bit 	128gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_590117.html	scishion v99 star tv streaming box android	$48.99	tv box 	2g ram 	powervr sgx6110 	scishion 	v99 		cortex a53 	1.5ghz,octa core 	black 	ddr3 	16g rom 	0.1350 kg 	13.90 x 11.00 x 3.00 cm / 5.47 x 4.33 x 1.18 inches 	dc 5v,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	1000m 	ap6255 	64bit 	128gb 	android 5.1 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_333724.html	xiaomi mi tv box 3 enhanced	$93.13	tv box 	2g ram 		xiaomi 	3 enhanced 		arm cortex-a53,arm cortex-a72 	2.0ghz 	white 	lpddr3 	8g rom 	0.1900 kg 	10.00 x 10.00 x 2.50 cm / 3.94 x 3.94 x 0.98 inches 	hdmi,usb2.0 		bluetooth 4.1 + edr 			64bit 	500gb 	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_436933.html	mecool bb2 tv box amlogic s912 octa core	$74.95	tv box 	2g 	arm mali-t820mp3 	mecool 	bb2 	amlogic s912 	amlogic s912 	2.0ghz 	gun color 	lpddr3 	16g 	0.2300 kg 	10.90 x 10.90 x 2.10 cm / 4.29 x 4.29 x 0.83 inches 	av,cvbs/l/r,dc power port,hdmi,optical,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 			64bit 	32gb 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_436944.html	yundoo y6 android box tv amlogic s905x quad core	$75.99	tv box 	2g 	mali-450 mp 	yundoo 			amlogic s905x 	2.0ghz 	black 		32g rom 	0.118 kg 	9.40 x 9.20 x 1.70 cm / 3.7 x 3.62 x 0.67 inches 	av,dc power port,hdmi,rj45,spdif,tf card,usb2.0 		bluetooth4.0 					android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_443591.html	sunvell t95z plus tv box amlogic s912 octa core	$56.99	tv box 	2g ram,3g ram 	arm mali-t820mp3 	sunvell 	t95z plus 	amlogic s912 	amlogic s912 	2.0ghz,octa core 	black 	ddr3 	16g rom,32g rom 	0.2500 kg 	13.00 x 13.00 x 3.00 cm / 5.12 x 5.12 x 1.18 inches 	av,dc power port,hdmi,optical,rj45,tf card,usb2.0 	2				64bit 	1tb 	android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_625312.html	z69 plus digital tv box	$81.21	tv box 	3g ram 	arm mali-t820mp3 		z69 plus 	amlogic s912 	arm cortex-a53 	2.0ghz,octa core 		ddr3 	32g rom 	0.2000 kg 	10.70 x 10.80 x 2.40 cm / 4.21 x 4.25 x 0.94 inches 	hdmi 	2	bluetooth 4.1 	10 / 100m 		64bit 		android 6.0.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_615650.html	voyo v1 mini pc intel celeron n3450	$189.99	mini pc 	4g 	intel hd graphic 	voyo 	v1 		intel celeron n3450 	quad core 	blue,golden,rose gold 	ddr3l 	128g 	0.4000 kg 	12.00 x 12.00 x 2.70 cm / 4.72 x 4.72 x 1.06 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 	2tb 	windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_615652.html	voyo v1 mini pc intel celeron n3450	$189.99	mini pc 	4g 	intel hd graphic 	voyo 	v1 		intel celeron n3450 	quad core 	blue,golden,rose gold 	ddr3l 	128g 	0.4000 kg 	12.00 x 12.00 x 2.70 cm / 4.72 x 4.72 x 1.06 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 	2tb 	windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_275100.html	minix neo u1 android quad core tv box	$120.43	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.278 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	500gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_401530.html	acemax g10x smart box tv amlogic s905x quad core	$56.23	tv box 	1g 	mali-450 	acemax 	g10x 		amlogic s905x 	quad core 	black 	ddr3 	8g 	0.1600 kg 	11.00 x 11.00 x 2.00 cm / 4.33 x 4.33 x 0.79 inches 	av,dc power port,hdmi,rj45,spdif,tf card,usb2.0 						32gb 	android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_649082.html	m96x smart tv box	$46.14	tv box 	2g ram 	mali-450 		m96x 	s905x 	arm cortex-a53 	quad core 		ddr3 	8g rom 	0.2800 kg 	9.60 x 9.60 x 2.00 cm / 3.78 x 3.78 x 0.79 inches 	dc power port,hdmi,optical,tf card,usb2.0,usb3.0 	2		10 / 100m 	ap6335 	64bit 		android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_452950.html	sunvell t95u - pro android 6.0 tv box	$59.99	tv box 	2g 	arm mali-t820mp3 	sunvell 	t95u - pro 	amlogic s912 	amlogic s912 	2.08ghz 	red 	ddr3 	16g 	0.3000 kg 	13.00 x 13.00 x 3.00 cm / 5.12 x 5.12 x 1.18 inches 	av,dc 5v,hdmi,optical,rj45,tf card,usb2.0 	1	bluetooth4.0 			64bit 	1tb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_424840.html	m95 amlogic s905x quad core android tv set box	$37.34	tv box 	1g ram 	mali-450 		m95 	amlogic s905 	amlogic s905 	2.0ghz,quad core 	black 	ddr3 	8g rom 	0.1300 kg 	9.00 x 9.00 x 2.00 cm / 3.54 x 3.54 x 0.79 inches 	av,dc power port,hdmi,micro sd card slot,rj45,usb2.0 					64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_627110.html	a95x a1 tv box	$27.99	tv box 	1g 	mali-450 mp 	a95x 	a95x a1 	s905x 	cortex a53 	2.0ghz,quad core 		ddr3 	8g 	0.1200 kg 	9.30 x 9.30 x 1.50 cm / 3.66 x 3.66 x 0.59 inches 	spdif,tf card,usb2.0 	2		100m 		64bit 		android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_624888.html	mini m8s pro tv box	$52.99	tv box 	2g 	arm mali-t820mp3 		mini m8s pro 	amlogic s912 	cortex a53 	octa core 		ddr3 	32g 	0.1840 kg 	11.00 x 11.00 x 1.75 cm / 4.33 x 4.33 x 0.69 inches 	dc power port,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	1000m 	9377	64bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_272898.html	measy b4ts android tv media player box	$46.76	tv box 	1g ram 	mali-450 	measy 	b4ts 		amlogic s905 	quad core 	black 	ddr3 	8g rom 		11.50 x 11.46 x 2.44 cm / 4.53 x 4.51 x 0.96 inches 	dc 5v,hdmi,micro sd card slot,optical,rj45,spdif,usb2.0 				2.4g 	64bit 	32gb 	android 5.1.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_576024.html	voyo v1 mini pc intel pentium n4200	$215.99	mini pc 	4g ram 	intel hd graphic 	voyo 	v1 		intel pentium n4200 	quad core 	golden,rose gold,royal blue 	ddr3l 	32g rom 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	yes 	64bit 	512gb 	windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_464204.html	guleek glk200 amlogic s905 quad-core tv media box	$31.39	tv box 	1g 	mali-450 	guleek 	glk200 		amlogic s905 	2.0ghz 	black 	ddr3 	8g 	0.2000 kg 	11.70 x 11.70 x 2.60 cm / 4.61 x 4.61 x 1.02 inches 	av,dc 5v,ethernet,hdmi,sd card slot,spdif,tf card,usb2.0 	1				64bit 	128gb 	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_607797.html	voyo vmac mini pc	$235.99	mini pc 	8gb 	intel hd graphic 5500 	voyo 	vmac 		apollo lake n4200 	quad core 		ddr3l 	32g emmc + 128g ssd 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc 5v,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	no 	64bit 		windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_638551.html	t9 s912 tv box	$68.42	tv box 	2g 	arm mali-t820mp3 		t9 s912 	amlogic s912 	amlogic s912 	1.5ghz 		ddr3 	16g 	0.1550 kg 	12.50 x 12.50 x 2.50 cm / 4.92 x 4.92 x 0.98 inches 	av,dc 5v,ethernet,hdmi,lan,tf card,usb2.0 	2	bluetooth4.0 			64bit 	64gb 	android 6.0.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_591550.html	mecool bb2 pro tv box android 6.0 3gb ddr4 + 16gb	$73.99	tv box 	3g ram 	arm mali-t820mp3 	mecool 	bb2 pro 	amlogic s912 	amlogic s912 	octa core 		ddr4 	16g rom 	0.2060 kg 	10.90 x 10.90 x 2.10 cm / 4.29 x 4.29 x 0.83 inches 	av,dc 5v,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	10/100m/1000m rgmii 		64bit 	32gb 	android 6.0 	802.11 b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_597285.html	mecool km8 p android setup box	$35.99	tv box 	1g 	arm mali-t820mp3 	mecool 	km8 p 	amlogic s912 	cortex a53 	octa core 		ddr3 	8g 	0.0900 kg 	9.70 x 9.70 x 1.70 cm / 3.82 x 3.82 x 0.67 inches 	av,dc power port,hdmi,rj45,tf card,usb2.0 	2		100m 		64bit 	128gb 	android 7.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_576023.html	voyo v1 mini pc intel pentium n4200	$215.99	mini pc 	4g ram 	intel hd graphic 	voyo 	v1 		intel pentium n4200 	quad core 	golden,rose gold,royal blue 	ddr3l 	32g rom 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	yes 	64bit 	512gb 	windows 10.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_484031.html	tx8 android 6.0 digital tv converter box	$74.0	tv box 	2g 	arm mali-t820mp3 		tx8 		amlogic s912 	2.08ghz 	silver 	ddr3 	32g 	0.500 kg 	10.80 x 10.80 x 1.90 cm / 4.25 x 4.25 x 0.75 inches 	av,dc 5v,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 			64bit 	500gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_639885.html	voyo v1 vmac mini pc	$156.76	mini pc 	4g ram 	intel hd graphic 	voyo 	v1 vmac 	apollo lake n3450 	apollo lake n3450 	quad core 		ddr3l 	32g rom 	0.4000 kg 	12.00 x 12.00 x 2.80 cm / 4.72 x 4.72 x 1.1 inches 	3.5mm audio,dc power port,mini hdmi female,rj45,tf card,usb3.0 	1.4	unsupport 	1000m 	out-cell 	64bit 		windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_493130.html	minix neo z83 - 4 fanless mini pc 64bit windows 10	$226.05	desktop,mini pc 	4g 	intel hd graphic 	minix 	neo z83 - 4 		intel atom x5-z8350 	quad core 	black 	ddr3l 	32g 	0.3480 kg 	12.20 x 12.20 x 2.50 cm / 4.8 x 4.8 x 0.98 inches 	3.5mm audio,dc power port,ethernet,hdmi,mini dp,tf card,usb2.0,usb3.0 	1.4	support 			64bit 		windows 10 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_235081.html	pipo x9 tv box 8.9 inch tablet mini pc	$125.28	tv box 	2g ram 		pipo 	x9 		intel baytrail t z3736f 	quad core 	black 		32g rom 	0.6390 kg 	21.70 x 15.20 x 6.10 cm / 8.54 x 5.98 x 2.4 inches 	3.5mm audio,dc power port,hdmi,micro usb,rj45,tf card,usb2.0 		bluetooth4.0 			64bit 	64gb 	android 4.4,windows 10 	ieee 802.11 b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_484033.html	tx7 android 6.0 digital tv converter box	$66.37	tv box 	2g 	mali-450 		tx7 		amlogic s905x 	2.0ghz 	silver 	ddr3 	32g 	0.500 kg 	10.80 x 10.80 x 1.90 cm / 4.25 x 4.25 x 0.75 inches 	av,dc 5v,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 			64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_562947.html	morefine m1s mini pc stick	$181.14	mini pc 	4g 	intel hd graphic 	morefine 	m1s 	intel atom x5-z8350 	intel atom x5-z8350 	quad core 	black 	ddr3 	64g 	0.0650 kg 	12.40 x 3.70 x 1.20 cm / 4.88 x 1.46 x 0.47 inches 	hdmi,micro sd card slot,usb2.0,usb3.0 	2	bluetooth4.0 	no 	intel 3165 	64bit 	128gb 	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_621641.html	csa93 android tv box amlogic s912 64bit octa core	$96.64	tv box 	2g,3gb 	arm mali-t820mp3 		csa93 	amlogic s912 	arm cortex-a53 	2.0ghz,octa core 	black 		16g,32g 	0.2300 kg 	6.00 x 9.00 x 3.00 cm / 2.36 x 3.54 x 1.18 inches 	av,dc 5v,hdmi,micro sd card slot,optical,otg,spdif,usb2.0 	2	bluetooth 4.1 	1000m 	q9377 	64bit 	128gb 	android 6.0 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_614301.html	minix z83 - 4 windows 10 tv box + minix k2 mini keyboard	$220.15	tv box 	4g 	intel hd graphic 	minix 	z83 - 4 		intel atom x5-z8350 	quad core 		ddr3l 	32g 	0.9520 kg 	26.00 x 13.00 x 5.00 cm / 10.24 x 5.12 x 1.97 inches 	3.5mm audio,dc power port,ethernet,hdmi,tf card,usb2.0,usb3.0 	1.4				64bit 	16gb	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_487815.html	inthd box i7 tv hd box amlogic s912 octa core	$63.79	tv box 	2g 	arm mali-t820mp3 	intbox 	i7 		amlogic s912 	octa core 	white 	ddr3 	8g 	0.300 kg 	12.10 x 10.00 x 2.40 cm / 4.76 x 3.94 x 0.94 inches 	av,dc power port,ethernet,hdmi,optical,tf card,usb2.0 	2	bluetooth4.0 			64bit 		android 6.0 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_607542.html	beelink gt1 ultimate android tv box	$71.99	tv box 	3g ram 	arm mali-t820mp3 	beelink 	gt1 ultimate 		amlogic s912 	2.0ghz,octa core 		ddr4 	32g rom 	0.1930 kg 	9.60 x 9.60 x 1.60 cm / 3.78 x 3.78 x 0.63 inches 	dc 5v,hdmi,lan,micro sd card slot,spdif,usb2.0 	2	bluetooth4.0 			32bit 	64gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_580665.html	z83s receiver hd mini pc intel atom x5-z8350 quad core	$78.03	mini pc 	2g ram 	intel hd graphics 400 		z83s 	intel atom x5-z8350 	intel atom x5-z8350 	quad core 	black 	ddr3 	32g rom 	0.0500 kg 	10.00 x 3.85 x 1.50 cm / 3.94 x 1.52 x 0.59 inches 	dc 5v,hdmi,micro sd card slot,micro usb,usb3.0 	1.4	bluetooth4.0 	no 	ieee 802.11a / b / g / n 	64bit 	128gb 	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_553852.html	nexsmart d32 tv box	$29.99	tv box 	1g ram 	mali-400 mp 	nexsmart 	d32 		rk3229 	1.5ghz 	black 	ddr3 	8g rom 	0.1500 kg 	10.60 x 9.80 x 2.70 cm / 4.17 x 3.86 x 1.06 inches 	av,dc power port,hdmi,lan,spdif,tf card,usb2.0 	2	unsupport 	10m / 100m 	rtl8189 	32bit 	1tb 	android 5.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_597284.html	mecool km8 p tv box	$35.99	tv box 	1g 	arm mali-t820mp3 	mecool 	km8 p 	amlogic s912 	cortex a53 	octa core 		ddr3 	8g 	0.0900 kg 	9.70 x 9.70 x 1.70 cm / 3.82 x 3.82 x 0.67 inches 	av,dc power port,hdmi,rj45,tf card,usb2.0 	2		100m 		64bit 	128gb 	android 7.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_484213.html	coowell v5 android 6.0 streaming usb tv stick	$34.59	tv receiver 	1g 	mali-450 	coowell 	v5 		amlogic s905x 	2.0ghz 	black 	ddr3 	8g 	0.109 kg 	10.20 x 4.00 x 0.80 cm / 4.02 x 1.57 x 0.31 inches 	hdmi,micro usb,otg,tf card,usb2.0 	2		100mbps 	for samsung original 	64bit 	500gb 	android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_624333.html	mx9 pro mini tv box	$31.99	tv box 	1g 	mali-450 		mx9 pro mini 	rk3328 	cortex a53 	quad core 		ddr3 	8g 	0.2700 kg 	8.20 x 8.20 x 2.00 cm / 3.23 x 3.23 x 0.79 inches 		2	unsupport 	100m 	am8189 	64bit 	64gb 	android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_274248.html	minix neo u1 android tv box mini pc	$142.99	tv box 	2g 	mali-450 	minix 	neo u1 		amlogic s905 	quad core 	black 	ddr3 	16g 	0.278 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,lan,otg,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	500gb 	android 5.1.1 	802.11 ac 
http://www.gearbest.com/tv-box-mini-pc/pp_660582.html	scishion v88 mars ii smart tv box	$29.99	tv box 	2g ram 	mali-400 	scishion 	v88 mars ii 	rk3229 	arm cortex-a7 	quad core 		ddr3 	8g rom 	0.0750 kg 	9.20 x 9.20 x 1.70 cm / 3.62 x 3.62 x 0.67 inches 		2		100m 	6051p 	32bit 	32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_608687.html	higole gole1 plus mini pc	$169.99	mini pc 	4g ram 	intel gen 8-lp 	higole 	gole1 plus 	intel atom x5-z8350 	intel atom x5-z8350 	quad core 		lpddr3 	128g rom,64g rom 	0.6600 kg 	19.90 x 13.60 x 2.70 cm / 7.83 x 5.35 x 1.06 inches 	3.5mm audio,dc power port,hdmi,lan,micro sd card slot,usb2.0,usb3.0 	1.4	bluetooth4.0 	100m 	no 	64bit 	128gb 	windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_434477.html	scishion v88 pro tv box amlogic s905x quad core	$29.99	tv box 	1g ram 	mali-450 	scishion 	v88 pro 	s905x 	amlogic s905x 	2.0ghz 	black 		8g rom 	0.1430 kg 	11.60 x 11.60 x 2.50 cm / 4.57 x 4.57 x 0.98 inches 	av,dc power port,hdmi,rj45,sd card slot,spdif,usb2.0 				rtl8189 	32bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_614305.html	minix neo u1 android 5 tv box + minix neo a3 air mouse	$144.56	tv box 	2g 	mali-450 	minix 	neo u1 		cortex a53 	quad core 	black 	ddr3 	16g 	0.7600 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	kensington lock,otg,tf card,usb2.0 					64bit 	64gb 	android 5.1.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_633910.html	h96 tv box	$32.3	tv box 	1g ram 	mali-400 		h96 	rk3229 	arm cortex-a7 	quad core 		ddr3 	8g rom 	0.2300 kg 	12.30 x 12.30 x 2.30 cm / 4.84 x 4.84 x 0.91 inches 		2	unsupport 	100m 	ap6051 		32gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_612274.html	minix neo u9 - h tv box	$163.8	tv box 	2g ram 	arm mali-t820mp3 	minix 	neo u9 - h 	amlogic s912-h 	arm cortex-a53 	octa core 	black 		16g rom 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,dc power port,hdmi,kensington lock,lan,microphone jack,otg,spdif,tf card,usb2.0 		bluetooth 4.1 		ap6335 		64gb 		802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_555825.html	m8s - ii tv android box 4k xbmc 1000m ethernet	$65.98																						
http://www.gearbest.com/tv-box-mini-pc/pp_608446.html	mecool kiii pro internet tv box	$115.99	tv box 	3g ram 	arm mali-t820mp3 	mecool 	kiii pro 	amlogic s912 	amlogic s912 	octa core 	black 	ddr3 	16g rom 	0.2600 kg 	13.00 x 12.00 x 3.20 cm / 5.12 x 4.72 x 1.26 inches 	av,dvb-s2,dvb-t2,hdmi,rj45,spdif,tf card,usb2.0 	2	bluetooth4.0 	1000m 	bcm4335 	64bit 	128gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_332292.html	k6 smart tv streaming media box android	$90.08	tv box 	2g 	mali-450 mp 		k6 		amlogic s812 	quad core 	black 		8g 	0.740 kg 	20.20 x 12.20 x 3.20 cm / 7.95 x 4.8 x 1.26 inches 	av,hdmi,lan,optical,usb2.0 		bluetooth4.0 					android 5.1.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_608471.html	dolamee d6 tv turner box	$51.83	tv box 	2g ram 	mali-450 	dolamee 	d6 	s905x 	cortex a53 	2.0ghz,quad core 		ddr3 	8g rom 	0.1300 kg 	10.30 x 10.30 x 2.00 cm / 4.06 x 4.06 x 0.79 inches 	av,dc 5v,hdmi,lan,spdif,tf card,usb2.0 	2				64bit 		android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_612217.html	minix neo u9 - h tv box + minix a3 air mouse	$152.99	tv box 	2g 	arm mali-t820mp3 	minix 	neo u9 - h 	amlogic s912-h 	cortex a53 	octa core 		ddr3 	16g 	0.2780 kg 	12.70 x 12.70 x 2.20 cm / 5 x 5 x 0.87 inches 	3.5mm audio,av,dc 5v,dc power port,hdmi,otg,rj45,spdif,tf card,usb2.0 	2	bluetooth 4.1 + edr 			64bit 	64gb 	android 6.0.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_484218.html	scishion v88 plus smart tv hd box android system	$28.99	tv box 	2g ram 	mali-400 	scishion 	v88 plus 		rk3229 	1.5ghz,quad core 	black 	ddr3 	8g rom 	0.1430 kg 	11.60 x 11.60 x 2.50 cm / 4.57 x 4.57 x 0.98 inches 	av,dc power port,hdmi,rj45,sd card slot,spdif,usb2.0 	2			6051p 	32bit 		android 5.1,android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_655688.html	x2 - a smart tv box	$29.99	tv box 	1g ram 	mali400mp2 			allwinne h3 	arm cortex-a7 	quad core 		ddr3 	8g rom 	0.1800 kg 	11.00 x 11.00 x 17.50 cm / 4.33 x 4.33 x 6.89 inches 	dc power port,hdmi,rj45,sd card slot,usb2.0 	2	unsupport 	100m 	ap8189 	32bit 	64gb 	android 4.4 	
http://www.gearbest.com/tv-box-mini-pc/pp_624804.html	sunvell r69 tv box	$21.99	tv box 	1g 	mali400mp2 	sunvell 	r69 	allwinner h2 	arm cortex-a7 	quad core 		ddr3 	8g 	0.2000 kg 	9.00 x 9.50 x 1.80 cm / 3.54 x 3.74 x 0.71 inches 		1.4	unsupport 	100m 	xr819 	32bit 	32gb 	android 6.0 	
